"year","Measles","Mumps","Rubella"
1968,11.5145742178804,71.8403943422841,24.1117066394699
1969,12.0379755081193,40.4946747012066,26.2486587908747
1970,22.4873612978797,47.6920827963611,26.5269864131892
1971,34.9760507382899,55.5603310233721,20.7351272163946
1972,14.4930459458378,31.5612647578528,11.1427229512205
1973,12.207141948331,29.8486673138128,13.0040770055651
1974,9.91395284557617,25.8702792862423,5.1964507013757
1975,11.0943672266818,26.8688871031096,7.25077034433254
1976,17.9471809967382,17.3139838722668,5.50366105281888
1977,22.602979699457,8.81058267376225,8.98765922556248
1978,12.1087899013881,7.08042617355384,7.23086270930237
1979,5.69775932727905,6.14311270870083,4.91092377351585
1980,5.75910024023619,3.64076483340753,1.62969250302384
1981,1.28861385303268,1.92133331191911,0.896826268262652
1982,0.740523679020258,2.21853787980323,0.925546271730411
1983,0.507655614162149,1.36190858926241,0.404148843423504
1984,0.936643273419059,1.17974477756555,0.312072508825532
1985,1.01919759320477,1.1673294173103,0.252794765353894
1986,2.39465228176524,2.24658120617661,0.196591541035749
1987,1.32293743785339,4.49765572543388,0.127651858038485
1988,1.17035124038738,1.91254522236577,0.0812800931591377
1989,6.18813450425447,2.17054090675925,0.151177910000832
1990,8.73869611119137,1.84230724125696,0.38920851364835
1991,3.22876377722985,1.47604037242729,0.318821540179554
1992,0.722777590599768,0.841800204703969,0.0561723888346559
1993,0.082639300296381,0.53230572773068,0.0605245579635467
1994,0.263943706423406,0.555469338626908,0.0697209790552394
1995,0.0801744138402277,0.294224971545741,0.0658035283405642
1996,0.173596760082655,0.204956174807263,0.072051988593446
1997,0.196446487232372,0.200869297451487,0.0600765054763162
1998,0.0211092481148231,0.192894853463039,0.076066083724104
1999,0.0219311990458476,0.105701188843921,0.0600411514861729
2000,0.019898948449308,0.0966520353252103,0.0490366943929376
2001,0.0256533290569351,0.0755543253046718,0.00632547839760043
2002,0.00486837266082431,0.0747642944340876,0.00139096361737837
2003,0,0,0
